Altium Designer Pick and Place Locations
E:\3. Workplace\Altium\08.09. Freezer\Freezer_FW\Hardware\Freezer_Controller\Project Outputs for Freezer_Controller\Pick Place for Freezer_Controller.csv

========================================================================================================================
File Design Information:

Date:       05/09/23
Time:       21:54
Revision:   b565b3338a10298c18ab063fe5e9ae346212896d
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"J8","DM3BT-DSF-PEJS","TopLayer","FP-DM3BT-DSF-PEJS-MFG","28.8618","32.6493","180","CONN MICRO SD CARD PUSH-PUSH R/A"
"LS1","AI-1223-TWT-5V-R","TopLayer","FP-AI-1223-TWT-5V-R-MFG","77.7848","51.1556","90","AUDIO MAGNETIC INDICATOR 3-7V TH"
"R71","10k, 1%, 1/10W","TopLayer","0603","69.6976","44.7040","0","RES 10K OHM 1% 1/10W 0603"
"Q10","BC547B","TopLayer","ONSC-TO-92-3-29-11","76.3270","39.5224","270","Amplifier Transistor, NPN Silicon, 3-Pin TO-92, Bulk Box"
"Y2","ABS07-32.768KHZ-T","TopLayer","FP-ABS07-MFG","72.4408","58.3383","90","ABS07 Series 32.768 kHz Â±20 ppm 12.5 pF -40 to +85 Â°C SMT Low Profile Crystal"
"U4","3034","TopLayer","FP-3034-MFG","69.5960","82.8040","180","Undefined or Miscellaneous"
"IC2","PCA9306DQER","TopLayer","FP-DQE0008A-MFG","71.2662","65.5276","0","Integrated Circuit"
"IC1","DS1307Z+","TopLayer","S8-2_M","77.4700","61.6809","90","Integrated Circuit"
"EXT_PWR_ON","Test Point","TopLayer","TEST_POINT_40_Mil","13.2080","9.1440","90","Test Point 0.3mm"
"WRX","2mm","TopLayer","TEST_POINT_40_Mil","22.0980","76.7588","90","Testpoint 2mm round"
"SCL","2mm","TopLayer","TEST_POINT_40_Mil","23.8760","76.7588","180","Testpoint 2mm round"
"SDO","2mm","TopLayer","TEST_POINT_40_Mil","27.4320","76.7588","180","Testpoint 2mm round"
"SDI","2mm","TopLayer","TEST_POINT_40_Mil","25.6540","76.7588","180","Testpoint 2mm round"
"TP23","2mm","TopLayer","TEST_POINT_40_Mil","77.7240","109.2200","90","Testpoint 2mm round"
"DISPL_CS","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","47.0916","90","Testpoint 2mm round"
"RESET","2mm","TopLayer","TEST_POINT_40_Mil","42.1640","68.5800","90","Testpoint 2mm round"
"BKLGHT","2mm","TopLayer","TEST_POINT_40_Mil","47.6472","70.0032","90","Testpoint 2mm round"
"RTD6","2mm","TopLayer","TEST_POINT_40_Mil","54.9402","34.1630","90","Testpoint 2mm round"
"RTD5","2mm","TopLayer","TEST_POINT_40_Mil","52.5018","34.2138","90","Testpoint 2mm round"
"RTD4","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","50.4698","90","Testpoint 2mm round"
"RTD3","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","48.7934","90","Testpoint 2mm round"
"RTD2","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","42.8244","90","Testpoint 2mm round"
"RTD1","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","40.2844","90","Testpoint 2mm round"
"BTN3","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","53.8226","90","Testpoint 2mm round"
"R132","CPF0402B200KE","TopLayer","0402","72.2982","67.2846","0","Resistor"
"R131","RT0603DRD0710KL","TopLayer","J1-0603","79.3496","67.9132","90","Resistor"
"R130","RT0603DRD0710KL","TopLayer","J1-0603","78.0796","67.9132","270","Resistor"
"R129","RT0402DRD0710KL","TopLayer","0402","23.1140","44.1960","0","Resistor"
"R128","RT0402DRD0710KL","TopLayer","0402","23.1060","42.4180","0","Resistor"
"Y1","ECS-.327-9-12R-TR","TopLayer","ABS0612732768KHZT","50.2490","40.6400","0","Crystal or Oscillator"
"LED1","150060GS73220","TopLayer","LED0603","53.6900","64.2620","180","LED"
"J2","2068320823","TopLayer","CONN_206832-0823","95.4860","117.9880","270","Header, 4-Pin, Dual row"
"J1","FH34SRJ-50S-0.5SH(50)","TopLayer","CONN_HIROSE_FH34SRJ-50S-0.5SH(50)","28.2765","88.1061","0","CONN FFC 50 WAY"
"BTN2","2mm","TopLayer","TEST_POINT_40_Mil","68.3006","52.1462","90","Testpoint 2mm round"
"TP11","2mm","TopLayer","TEST_POINT_40_Mil","33.1470","45.8470","90","Testpoint 2mm round"
"PWR_CTL","2mm","TopLayer","TEST_POINT_40_Mil","19.0500","24.3840","90","Testpoint 2mm round"
"S1","TL1015AF160QG","TopLayer","FP-TL1015AF160QG-MFG","51.4858","36.6749","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"P1","PPTC041LGBN-RC","TopLayer","HDR1X4","36.7030","55.8800","270","Header, 4-Pin"
"L10","BLM03AX121SN1D","TopLayer","0603","58.9280","41.3020","270","Inductor"
"C70","CL05F104ZO5NNNC","TopLayer","0402","48.6664","34.3662","0",""
"U20","MAXM17503ALJ+","TopLayer","FP-L32915-3-MFG","58.8000","9.8998","270","DC DC CONVERTER 0.9-12V"
"+3.3V","Test Point","TopLayer","TEST_POINT_40_Mil","94.9000","24.2000","90","Test Point 0.3mm"
"TP8","2mm","TopLayer","TEST_POINT_40_Mil","2.3000","27.2000","90","Testpoint 2mm round"
"EN5","Test Point","TopLayer","TEST_POINT_40_Mil","71.3000","10.6000","90","Test Point 0.3mm"
"+5V","Test Point","TopLayer","TEST_POINT_40_Mil","94.9000","33.3000","90","Test Point 0.3mm"
"C36_3","0.1uF, 50V","TopLayer","0805","60.9000","134.1000","0","0.10µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"R127","0R, 1/10W","TopLayer","0603","36.4000","67.1000","0","RES 0 OHM JUMPER 1/10W 0603"
"R126","DNP","TopLayer","0603","35.6000","67.9000","90","RES 0 OHM JUMPER 1/10W 0603"
"FB16","120R@100MHz","TopLayer","1206","88.2500","39.3000","180","FERRITE BEAD 120 OHM 1206 1LN"
"C94","10nF, 100V","TopLayer","0603","85.0000","38.5000","90","CAP CER 10000PF 100V C0G 0603"
"FB12","1.5k@100MHz","TopLayer","0805","18.6000","69.3000","90","WE-CBA SMT EMI SUPPRESSION FERRITE"
"C87","0.1uF, 50V","TopLayer","0805","19.6000","72.3000","180","0.10µF ±10% 50V Ceramic Capacitor X7R 0805 (2012 Metric)"
"C88","10nF, 100V","TopLayer","0603","19.4000","66.6000","0","CAP CER 10000PF 100V C0G 0603"
"R91","0R, 1/10W","TopLayer","0603","24.3851","81.7880","270","RES 0 OHM JUMPER 1/10W 0603"
"R89","0R, 1/10W","TopLayer","0603","22.8807","81.7880","90","RES 0 OHM JUMPER 1/10W 0603"
"R76","0R, 1/10W","TopLayer","0603","21.4215","93.2560","90","RES 0 OHM JUMPER 1/10W 0603"
"R75","0R, 1/10W","TopLayer","0603","22.9215","93.2560","90","RES 0 OHM JUMPER 1/10W 0603"
"R74","0R, 1/10W","TopLayer","0603","24.4215","93.2560","90","RES 0 OHM JUMPER 1/10W 0603"
"L9","600R@100MHz, 1A","TopLayer","DFN260P320X200-4L","9.1000","83.7500","90","CMC 1A 2LN 600 OHM SMD"
"FB11","1.5k@100MHz","TopLayer","0805","1.3000","61.6000","90","WE-CBA SMT EMI SUPPRESSION FERRITE"
"C86","10uF, 50V","TopLayer","1206","2.6500","64.6000","180","CAP CER 10UF 50V X7R 1206"
"C85","10nF, 100V","TopLayer","0603","2.3000","58.8000","0","CAP CER 10000PF 100V C0G 0603"
"U19","STSP84050U800","TopLayer","SOIC127P600X163-8N","86.0127","105.0127","180","TVS DIODE 5VWM 20VC 8-SOP"
"R125","26.7k, 1%, 1/10W","TopLayer","0603","40.5160","57.3330","90","RES 26.7K OHM 1% 1/10W 0603"
"R124","100k, 1%, 1/10W","TopLayer","0603","39.1160","57.3330","90","RES 100K OHM 1% 1/10W 0603"
"R123","15k, 1%, 1/10W","TopLayer","0603","40.5163","60.1833","270","RES 15K OHM 1% 1/10W 0603"
"R122","100k, 1%, 1/10W","TopLayer","0603","41.9163","60.1833","270","RES 100K OHM 1% 1/10W 0603"
"R121","15k, 1%, 1/10W","TopLayer","0603","40.4970","54.4035","270","RES 15K OHM 1% 1/10W 0603"
"R120","100k, 1%, 1/10W","TopLayer","0603","39.0970","54.4035","270","RES 100K OHM 1% 1/10W 0603"
"R119","15k, 1%, 1/10W","TopLayer","0603","40.4468","51.5533","90","RES 15K OHM 1% 1/10W 0603"
"R118","100k, 1%, 1/10W","TopLayer","0603","41.8468","51.5533","90","RES 100K OHM 1% 1/10W 0603"
"R117","10k, 1%, 1/10W","TopLayer","0603","96.4000","77.8000","0","RES 10K OHM 1% 1/10W 0603"
"L8","90R@100Mhz","TopLayer","BOURNS_SRF2012","87.7750","100.6000","270","INDUCTOR COMMON MODE 90 OHM 25%"
"L7","90R@100Mhz","TopLayer","BOURNS_SRF2012","85.5750","100.6000","270","INDUCTOR COMMON MODE 90 OHM 25%"
"L6","90R@100Mhz","TopLayer","BOURNS_SRF2012","83.5250","80.7000","90","INDUCTOR COMMON MODE 90 OHM 25%"
"J3","1722982212","TopLayer","CONN_MOLEX_1722982212","70.3774","96.1002","0","CONN HEADER VERT 12POS 3.5MM"
"F1","0.75A, 33V","TopLayer","1812_CAP","87.2750","43.8000","180","PTC RESET FUSE 33V 750MA 1812"
"D10","V3PM10-M3/H","TopLayer","SMP","92.1000","101.0850","90","SCHOTTKY RECTIFIER 3A 100V SMP"
"C84","10nF, 100V","TopLayer","0603","41.9160","57.3330","90","CAP CER 10000PF 100V C0G 0603"
"C83","10nF, 100V","TopLayer","0603","39.1163","60.1833","270","CAP CER 10000PF 100V C0G 0603"
"C82","10nF, 100V","TopLayer","0603","41.8970","54.4035","270","CAP CER 10000PF 100V C0G 0603"
"C81","10nF, 100V","TopLayer","0603","39.0468","51.5533","90","CAP CER 10000PF 100V C0G 0603"
"C72","10uF, 100V","TopLayer","1210","92.1000","106.3500","270","MLCC 10UF 100V X7S 1210"
"U13","STSP84050U800","TopLayer","SOIC127P600X163-8N","50.0873","130.9873","0","TVS DIODE 5VWM 20VC 8-SOP"
"U11","MCP1501T-10E/CHY","TopLayer","SOT23-6","59.0000","119.7000","0","IC VREF SERIES 0.1% SOT23-6"
"U8","LM2904QS-13","TopLayer","SOIC127P600X163-8N","8.0873","23.7627","270","IC OPAMP GP 2 CIRCUIT 8SO"
"U7","LM2904QS-13","TopLayer","SOIC127P600X163-8N","9.4127","41.8373","90","IC OPAMP GP 2 CIRCUIT 8SO"
"R90","0R, 1/10W","TopLayer","0603","25.8895","81.7880","90","RES 0 OHM JUMPER 1/10W 0603"
"R88","10k, 1%, 1/10W","TopLayer","0603","54.7903","40.8940","90","RES 10K OHM 1% 1/10W 0603"
"R87","10k, 1%, 1/10W","TopLayer","0603","53.3400","40.8940","90","RES 10K OHM 1% 1/10W 0603"
"R86","10k, 1%, 1/10W","TopLayer","0603","64.1830","50.2715","180","RES 10K OHM 1% 1/10W 0603"
"R85","10k, 1%, 1/10W","TopLayer","0603","64.1830","48.8213","180","RES 10K OHM 1% 1/10W 0603"
"R84","10k, 1%, 1/10W","TopLayer","0603","64.5160","42.1640","180","RES 10K OHM 1% 1/10W 0603"
"R83","10k, 1%, 1/10W","TopLayer","0603","64.5160","40.6400","180","RES 10K OHM 1% 1/10W 0603"
"R82","0R, 1/10W","TopLayer","0603","41.0210","47.7520","0","RES 0 OHM JUMPER 1/10W 0603"
"R81","100R, 1%, 1/10W","TopLayer","0603","64.2340","53.8190","180","RES 100 OHM 1% 1/10W 0603"
"R80","100R, 1%, 1/10W","TopLayer","0603","64.2340","52.3190","180","RES 100 OHM 1% 1/10W 0603"
