Altium Designer Pick and Place Locations
E:\3. Workplace\Altium\08.09. Freezer\Freezer_FW\Hardware\Freezer_Power\Project Outputs for Freezer_Power\Pick Place for Freezer_Power.csv

========================================================================================================================
File Design Information:

Date:       10/09/23
Time:       21:17
Revision:   f4aa1c0700b1c6f195558960dcb7fcd44918245f
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R96","10k, 1%, 1/10W","BottomLayer","0603","101.1793","28.2000","180","RES 10K OHM 1% 1/10W 0603"
"R95","10k, 1%, 1/10W","BottomLayer","0603","104.0000","14.6000","90","RES 10K OHM 1% 1/10W 0603"
"Q20","DMN67D8L-7","BottomLayer","SOT23-3","101.6000","31.3000","270","MOSFET N-CH 60V 210MA SOT23"
"Q19","DMP3056L-7","BottomLayer","SOT23-3","102.9792","24.6000","180","MOSFET P-CH 30V 4.3A SOT23"
"TP11","Test Point","TopLayer","TEST_POINT_40_Mil","100.8000","48.7000","90","Test Point 0.3mm"
"TP10","Test Point","TopLayer","TEST_POINT_40_Mil","102.9000","29.3000","90","Test Point 0.3mm"
"L21","1.1k@100MHz, 2A","TopLayer","PLCC440P435X370X235-4L","100.5293","19.2984","180","CMC 2A 2LN 1.1K OHM SMD"
"J19","2068320823","TopLayer","CONN_206832-0823","52.3600","110.1900","0","Header, 4-Pin, Dual row"
"F6","0.75A, 33V","TopLayer","1812_CAP","100.8000","11.2000","180","PTC RESET FUSE 33V 750MA 1812"
"D27","SMBJ28A-13-F","TopLayer","SMB","100.2292","25.2777","0","TVS DIODE 28VWM 45.4VC SMB"
"C132","0.1uF, 50V","TopLayer","0603","100.3000","28.3569","180","CAP CER 0.1UF 50V X7R 0603"
"C131","10uF, 50V","TopLayer","1206","100.5000","14.6942","0","CAP CER 10UF 50V X7R 1206"
"TP9","Test Point","TopLayer","TEST_POINT_40_Mil","11.1000","50.0000","90","Test Point 0.3mm"
"TP8","Test Point","TopLayer","TEST_POINT_40_Mil","26.8000","105.5000","90","Test Point 0.3mm"
"TP7","Test Point","TopLayer","TEST_POINT_40_Mil","69.9000","39.7000","90","Test Point 0.3mm"
"TP6","Test Point","TopLayer","TEST_POINT_40_Mil","69.8000","43.1000","90","Test Point 0.3mm"
"TP5","Test Point","TopLayer","TEST_POINT_40_Mil","69.9000","46.8000","90","Test Point 0.3mm"
"TP4","Test Point","TopLayer","TEST_POINT_40_Mil","88.5000","58.7000","90","Test Point 0.3mm"
"TP3","Test Point","TopLayer","TEST_POINT_40_Mil","73.4000","51.4000","90","Test Point 0.3mm"
"TP2","Test Point","TopLayer","TEST_POINT_40_Mil","97.3000","29.0000","90","Test Point 0.3mm"
"TP1","Test Point","TopLayer","TEST_POINT_40_Mil","20.5000","61.1000","90","Test Point 0.3mm"
"J18","Header 2","TopLayer","CONN-TH_2P-P2.50_HX25003-2A","72.2250","57.5000","180","Header, 2-Pin"
"J2","2068320823","TopLayer","CONN_206832-0823","101.4100","38.7600","90","Header, 4-Pin, Dual row"
"R94","1k, 1%, 1/10W","TopLayer","0603","19.0000","54.5000","270","RES 1K OHM 1% 1/10W 0603"
"R93","1k, 1%, 1/10W","TopLayer","0603","29.4000","35.6000","0","RES 1K OHM 1% 1/10W 0603"
"R92","1k, 1%, 1/10W","TopLayer","0603","26.5000","35.6000","0","RES 1K OHM 1% 1/10W 0603"
"R91","1k, 1%, 1/10W","TopLayer","0603","57.1000","34.1000","90","RES 1K OHM 1% 1/10W 0603"
"R82","1k, 1%, 1/10W","TopLayer","0603","55.7000","34.1000","270","RES 1K OHM 1% 1/10W 0603"
"D26","RED","TopLayer","0603_DIODE_K1A2","19.0000","51.6000","270","LED RED CLEAR 1608 SMD"
"D25","RED","TopLayer","0603_DIODE_K1A2","32.3000","35.6000","0","LED RED CLEAR 1608 SMD"
"D24","RED","TopLayer","0603_DIODE_K1A2","58.5000","34.1000","270","LED RED CLEAR 1608 SMD"
"U2","BQ25731RSNR","TopLayer","QFN40P400X400X80_HS-33L","11.2000","86.8000","270","I2C 1-5 CELL NVDC BUCK-BOOST BAT"
"C47","1nF, 100V","TopLayer","0603","12.3500","81.0750","90","CAP CER 1000PF 100V C0G/NP0 0603"
"C46","10nF, 100V","TopLayer","0603","13.8500","81.0750","90","CAP CER 10000PF 100V C0G 0603"
"C130","100uF, 35V","BottomLayer","CAPAE7866X80L","51.0930","98.7500","270","CAP ALUM 100UF 20% 35V SMD"
"C129","100uF, 35V","BottomLayer","CAPAE7866X80L","43.6000","98.7500","270","CAP ALUM 100UF 20% 35V SMD"
"R90","2R, 1%, 1/4W","TopLayer","1206","74.9500","70.9000","0","RES 2 OHM 1% 1/4W 1206"
"L20","6.6uH, 3.7A","TopLayer","PLCC300P1250X1250X600-4N","70.2750","78.8900","180","INDUCT ARRAY 2 COIL 6.6UH SMD"
"C128","10uF, 50V","TopLayer","1206","78.8750","81.7400","270","CAP CER 10UF 50V X7R 1206"
"C127","10uF, 50V","TopLayer","1206","78.8750","76.0400","90","CAP CER 10UF 50V X7R 1206"
"C13","10uF, 50V","TopLayer","1206","66.2500","86.8000","180","CAP CER 10UF 50V X7R 1206"
"DNP","10k, 1%, 1/10W","BottomLayer","0603","76.5881","34.6920","270","RES 10K OHM 1% 1/10W 0603"
"R83","10k, 1%, 1/10W","BottomLayer","0603","75.0881","34.6920","90","RES 10K OHM 1% 1/10W 0603"
"J17","1.5x3.5","BottomLayer","PAD_15_35","61.4080","20.7881","180","PAD SOLDER 1.5x3.5MM"
"J16","1.5x3.5","BottomLayer","PAD_15_35","63.3980","20.7881","180","PAD SOLDER 1.5x3.5MM"
"J15","1.5x3.5","BottomLayer","PAD_15_35","65.3880","20.7881","180","PAD SOLDER 1.5x3.5MM"
"J14","1.5x3.5","BottomLayer","PAD_15_35","67.3780","20.7881","180","PAD SOLDER 1.5x3.5MM"
